"Khatchig Mouradian is a journalist, writer and translator born in Lebanon .","(Khatchig Mouradian, place of birth, Lebanon)"
"Émile Lévy (August 29, 1826 Paris - 1890) was a French genre and portrait painter .","(Émile Lévy, place of birth, Paris)"
"Freddy Marshall, born in Caracas, Venezuela (November 7, 1959), is a musician and songwriter specializing in the genre known as Heavy Metal .","(Freddy Marshall, place of birth, Caracas)"
"Born in Humboldt, Iowa to George S and Mary (White) Garfield, he received a Bachelor of Arts degree from the University of Iowa in 1915 and his law degree from the University of Iowa College of Law in 1917 .","(Theodore G. Garfield, place of birth, Humboldt)"
"Cathy Sisler is an American artist, born in Wisconsin .","(Cathy Sisler, place of birth, Wisconsin)"
"Rusty Egan (born 19 September 1957, London) was the drummer for the British new wave band, The Rich Kids .","(Rusty Egan, place of birth, London)"
"Otto Mainzer (November 26, 1903 in Frankfurt am Main, † 28 June 1995 in New York City) was a German-American writer .","(Otto Mainzer, place of birth, Frankfurt)"
"Françoise Romand, born in Marseilles, is a French moviemaker .","(Françoise Romand, place of birth, Marseille)"
"Iraj Kalantari Taleghani is a renowned contemporary Iranian architect, famous for his contribution to the modernization of Iranian architecture .","(Iraj Kalantari Taleghani, place of birth, Tehran)"
"Helen Thomas Dranga (1866--1940), who is also known as Carrie Helen Dranga, was a painter who was born Carrie Helen Tufts in Oxford, England .","(Helen Thomas Dranga, place of birth, Oxford)"
"Li Lei (; born 24 June 1984 in Beijing, China) is a Chinese baseball player who is a member of Team China at the 2008 Summer Olympics .","(Li Lei, place of birth, China)"
"Born in Texas probably in 1830, Randolph Runnels was a nephew of Hiram Georges Runnels .","(Randolph Runnels, place of birth, Texas)"
"Jeremy Current (Born December 25, 1985 in Charlotte, NC) is an American songwriter, musician, and band leader .","(Jeremy Current, place of birth, Charlotte)"
"He was born on 1 April 1948 in Istanbul, Turkey to a renowned photographer father, Sami Güner .","(Fuat Güner, place of birth, Istanbul)"
"Born in Montreal, Reed studied the organ in his youth with Romain-Octave Pelletier I and Dominique Ducharme .","(William Reed, place of birth, Montreal)"
"Anae is Samoan, although he was born in Fiji .","(Arthur Anae, place of birth, Fiji)"
Cartier built a gristmill so he could produce flour .,"(Jacques Cartier, place of birth, Quebec)"
"Alexander Yossifov (born 12 August 1940, Sofia) is a Bulgarian composer and conductor .","(Alexander Yossifov, place of birth, Sofia)"
Alireza Sheikhattar (born 9 June 1952 in Tehran) is an Iranian diplomat and current ambassador of the Islamic Republic of Iran to Berlin .,"(Alireza Sheikhattar, place of birth, Tehran)"
"Martin Brown is an Australian artist who was born in Melbourne and from a very early age, could draw .","(Martin Brown, place of birth, Melbourne)"
"Victoria Le Page (born in 1919 in Melbourne, Australia) is an Australian spiritual writer .","(Victoria LePage, place of birth, Melbourne)"
"Nabil G Seidah, (born 1949) is a Québécois scientist .","(Nabil Seidah, place of birth, Egypt)"
Macdonald was born on 8 February 1862 in Aberdeen and was educated at Aberdeen Grammar School and the University of Aberdeen .,"(James Macdonald, place of birth, Aberdeen)"
"Nigel Preston (born April 4, 1963, London, England, died April 1, 1992) was a British drummer .","(Nigel Preston, place of birth, London)"
"A younger brother of Thomas Duffus Hardy, he was born in Jamaica on 6 July 1807, and came to England at the same time as his brother .","(William Hardy, place of birth, Jamaica)"
"Born in Charleston, South Carolina, Whaley attended the Episcopal High School, in Alexandria, Virginia, and was graduated from the law department of the University of Virginia at Charlottesville, where he was a member of St Anthony Hall, in 1897 .","(Richard S. Whaley, place of birth, Charleston)"
"Cillian Vallely is an Irish musician, born in Armagh, Northern Ireland .","(Cillian Vallely, place of birth, Armagh)"
"Henri Alfred Darjou, a French painter and draughtsman, born in Paris in 1832, was the son of Victor Darjou, a portrait painter of some ability .","(Alfred Darjou, place of birth, Paris)"
"Medo Martinello (born December 6, 1935) is a former Professional box lacrosse player, coach, and ice hockey referee, born in Windsor, Ontario, Canada of Italian descent .","(Medo Martinello, place of birth, Windsor)"
Georges Hanna Sabbagh was born at Alexandria in Egypt .,"(Georges Hanna Sabbagh, place of birth, Alexandria)"
"David Lister (born 1930, Grimsby, Lincolnshire) is an eminent British origami historian .","(David Lister, place of birth, Grimsby)"
"Ely Devons (29 July 1913 -- 28 December 1967), an economist and statistician, was born in Bangor, Gwynedd North Wales, lived most of his life in Manchester and died after a long illness at St Thomas Hospital in London .","(Ely Devons, place of birth, Bangor)"
Kim Kuusi (born 28 December 1947 in Helsinki) is a Finnish composer best known for his advertising jingles .,"(Kim Kuusi, place of birth, Helsinki)"
"Marek Muszyński (born 23 January 1947 in Lublin) is a Polish politician, a member of Prawo i Sprawiedliwość (Law and Justice) party .","(Marek Muszyński, place of birth, Lublin)"
"Peter Gregg (born March 6, 1951, Kent, Ohio) is a producer and musician .","(Peter Gregg, place of birth, Kent)"
Robin Hofman (born 3 May 1986 in Rotterdam) is a Dutch footballer who currently plays for Excelsior Rotterdam .,"(Robin Hofman, place of birth, Rotterdam)"
"Rufus Phillips, Born in rural Virginia and educated at Yale, was a young C.IA officer in Saigon in the 1950s .","(Rufus Phillips, place of birth, Virginia)"
"John Wainwright is a computer scientist, born in Australia, who has pioneered the development of pure object-based computer languages .","(John Wainwright, place of birth, Australia)"
"Eugène Brieux (19 January 1858 -- 6 December 1932), French dramatist, was born in Paris of poor parents .","(Eugène Brieux, place of birth, Paris)"
"Born in Annapolis, Maryland, Randall was educated under private tutors .","(Alexander Randall, place of birth, Annapolis)"
"Hubert Buchberger (born 1951 Frankfurt) is a German violinist, conductor and music university teacher .","(Hubert Buchberger, place of birth, Frankfurt)"
"Born as Margaret Guenveur on October 10, 1926 in Wilmington, New Castle, Delaware, US, she was best-known for her role as Dr Sedgwick on the long-running daytime soap opera, Guiding Light .","(Margaret Gwenver, place of birth, Wilmington)"
"Donald B Cole born 31 March 1922 in Lawrence, MA is professor emeritus at Phillips Exeter Academy, New Hampshire, and the author of a number of books on early American history, including Martin Van Buren and the American Political System as well as The Presidency of Andrew Jackson .","(Donald B. Cole, place of birth, Lawrence)"
"Born in Philadelphia, Pope grew up in Bowling Green, Ohio, with stops in Columbus, Ohio, San Francisco, and Toronto in-between; Pope now lives and works in New York City .","(Paul Pope, place of birth, Philadelphia)"
"Rem Urasin (born 1976, Kazan) is a Russian pianist .","(Rem Urasin, place of birth, Kazan)"
Franz Ludwig Catel was born at Berlin in 1778 .,"(Franz Ludwig Catel, place of birth, Berlin)"
"Samuel Löw Brill (September 14, 1814 -- April 8, 1897) was a Hungarian rabbi and Talmudical scholar born in Budapest .","(Samuel Löw Brill, place of birth, Budapest)"
"Lene Børglum (b. 1961 in Denmark) is a Danish film producer who has worked on several important films in a variety of genres, including experimental shorts, hardcore porn videos and theatrical feature films such as Lars von Trier's Golden Palm-nominated Dogville .","(Lene B%C3%B8rglum, place of birth, Denmark)"
"Andrea Gallandi (born at Venice, 7 December 1709; died there 12 January 1779, or 1780) was an Italian Oratorian and patristic scholar .","(Andrea Gallandi, place of birth, Venice)"
"Bowman was born and grew up in Brooklyn, New York, and graduated from Harvard College in 1941 .","(Thomas Elliot Bowman III, place of birth, Brooklyn)"
"Born in Chicago, Fitzgerald attended Loyola University Chicago before enlisting in the United States Navy .","(Thomas R. Fitzgerald, place of birth, Chicago)"
"Born in London, Taylor was educated at St Paul's School, and devoted himself to the study of the classics and of mathematics .","(Thomas Taylor, place of birth, London)"
"Peter Cooper (born August 1960, Salisbury, UK) is an Internet publisher, financial journalist and author living in Dubai and was a partner in the successful dot-com publisher AMEinfo.com sold to Emap plc in 2006 .","(Peter Cooper, place of birth, Salisbury)"
"Jimmy Greenspoon (born February 7, 1948, Los Angeles, California) is an American keyboard player, best known as a member of the band, Three Dog Night .","(Jimmy Greenspoon, place of birth, California)"
Alessio Secco (born 5 January 1970 in Turin) was an Italian director of football for the Italian Serie A club Juventus .,"(Alessio Secco, place of birth, Turin)"
"Zable was born on 10 January 1947 in Wellington, New Zealand to Polish-Jewish refugee parents .","(Arnold Zable, place of birth, Wellington)"
"Robert Bourne (born 16 May 1950) is a British property developer, entrepreneur and philanthropist who was born in London, UK Over the past 30 years Bourne has amassed a vast property and leisure empire in London and France and has achieved wide recognition for his patronage of the dramatic arts with his wife, theatre impresario, Sally Greene OBE .","(Robert Bourne, place of birth, London)"
"Edmund Fetting (10 November 1927, in Warsaw, Poland -- 30 January 2001 there) was a Polish movie and theatrical actor and occasional singer .","(Edmund Fetting, place of birth, Warsaw)"
Johan Reuter (born 1969 in Copenhagen) is a Danish baritone and opera singer .,"(Johan Reuter, place of birth, Copenhagen)"
"The son of another William Keasberry, by his marriage to Catherine Liddell, he was born in London .","(William Keasberry, place of birth, London)"
"John Norton Pomeroy (1828--1885) was an American lawyer and legal writer, born in Rochester, N Y., where he practiced law for many years following his graduation from Hamilton College (1847) and his admittance to the state bar in 1851 .","(John Norton Pomeroy, place of birth, Rochester)"
"Nadia Jebril, born 1982 in Sweden to Palestinian parents of Jordanian extraction, is a journalist and TV host at the Swedish television (SVT), Muslim profile .","(Nadia Jebril, place of birth, Sweden)"
"Ryan Burr (born March 17, 1972, Pittsburgh, Pennsylvania) is a sports television journalist for ESPN .","(Ryan Burr, place of birth, Pennsylvania)"
Francesco Musotto (born on 1 February 1947 in Palermo) is an Italian politician and Member of the European Parliament for the Islands (elected for the first time in 1999) .,"(Francesco Musotto, place of birth, Palermo)"
"Martin Vari (* February 27, 1982 in Argentina) is a professional kitesurfer and two times PKRA freestyle world champion in kitesurfing (2001 and 2003) .","(Martin Vari, place of birth, Argentina)"
"Carlos Cosías is a Spanish operatic tenor born in Barcelona, Spain .","(Carlos Cosías, place of birth, Barcelona)"
"Born in Utah, Thorne attended Stanford University, receiving her bachelor's degree with Great Distinction and with Honors in Anthropology and Honors in Social Thought and Institutions in 1964 .","(Barrie Thorne, place of birth, Utah)"
"Kate Richardson (born 5 November 1973 in Melbourne, Victoria) is an Australian athlete, who represented her native country at the 1996 Summer Olympics in the women's 5.000 metres .","(Kate Richardson, place of birth, Melbourne)"
"Hyman I Goldstein (November 2, 1887 -- 1954) was an American physician and medical historian born in Baltimore, Maryland .","(Hyman I. Goldstein, place of birth, Baltimore)"
During the French Revolution Cartellier was part of a team of sculptors who worked on the church of Ste .,"(Pierre Cartellier, place of birth, Paris)"
"When Hipparchus was born, Athenais named him in honor of his maternal grandfather and paternal great grandfather .","(Lucius Vibullius Hipparchus, place of birth, Athens)"
"Kemal Alispahić (born 1969 in Sarajevo, SR Bosnia-Herzegovina, SFR Yugoslavia) is a former Bosnian football player and now a manager .","(Kemal Alispahić, place of birth, Sarajevo)"
